Date,Express,Guardian,Independent,Mail,Telegraph,Times
17:00:10-24/10/2015,-3.0,-7.9,-2.9,-1.25,-0.1,-3.5
18:00:10-24/10/2015,-1.3,-8.0,-2.9,-0.5,1.4,-3.5
19:00:11-24/10/2015,1.35,-8.0,-2.9,0.3,1.7,-2.8
20:14:23-24/10/2015,0.35,-3.85,-2.9,0.95,0.55,-2.05
11:00:20-25/10/2015,0.05,-5.2,-2.9,-2.15,-5.45,0.8
12:00:06-25/10/2015,0.05,-5.8,-2.9,-2.8,-5.45,0.8
13:00:06-25/10/2015,0.05,-5.8,-2.9,-1.85,-5.45,1.3
14:00:06-25/10/2015,-0.6,-5.4,-2.9,-4.05,-5.45,0.4
15:00:06-25/10/2015,-3.6,-7.05,-2.9,-1.9,-5.45,0.4
16:00:07-25/10/2015,-6.45,-7.05,-2.9,-5.85,-5.45,-0.3
17:00:08-25/10/2015,-3.8,-5.65,-2.9,-2.85,-5.45,-0.3
18:00:08-25/10/2015,-3.65,-4.8,-2.9,-2.2,-1.85,-1.9
19:00:09-25/10/2015,-4.7,-6.35,-2.9,-0.05,-1.95,-1.9
21:00:10-25/10/2015,-0.65,-3.45,-2.9,-0.25,-0.4,-2.25
22:00:30-25/10/2015,0.2,-2.25,-2.9,-0.4,-0.4,-1.65
23:00:42-25/10/2015,-2.85,-2.45,-2.9,-1.8,0.1,-1.0
00:00:37-26/10/2015,-2.5,-1.95,-2.9,-4.05,-0.5,-1.0
09:00:13-26/10/2015,-4.0,0.95,-2.9,-3.1,2.35,-2.8
10:00:09-26/10/2015,-4.05,0.95,-2.9,-0.5,1.35,-2.8
11:00:19-26/10/2015,-4.2,0.5,-2.9,-0.5,1.3,-2.8
12:00:09-26/10/2015,-3.8,0.1,-2.9,0.05,1.3,-3.45
13:00:06-26/10/2015,-4.1,-1.15,-2.9,-2.6,0.65,-3.2
14:00:06-26/10/2015,-3.95,-1.15,-2.9,-2.95,-0.9,-3.2
17:00:45-26/10/2015,-4.15,-2.8,-2.9,0.1,-1.3,-3.8
18:00:31-26/10/2015,-3.55,-4.2,-2.9,-2.1,-1.55,-3.8
19:00:28-26/10/2015,-3.9,-4.85,-2.9,-3.1,-1.7,-1.4
21:01:05-26/10/2015,-4.6,-2.85,-2.9,-1.85,-2.2,-1.55
22:01:43-26/10/2015,-2.05,-3.25,-2.9,0.35,-3.5,-1.95
12:01:39-27/10/2015,-3.1,-4.85,-2.9,-1.1,-2.6,-1.85
13:00:31-27/10/2015,-3.0,-2.35,-2.9,0.45,-3.4,-1.85
14:00:31-27/10/2015,-2.85,-3.9,-2.9,-0.85,-4.2,-1.85
15:01:16-27/10/2015,-2.7,-1.15,-2.9,-1.35,-3.2,-1.9
16:02:00-27/10/2015,-2.8,-2.3,-2.9,-2.2,-2.85,-1.9
17:00:28-27/10/2015,-1.8,-2.4,-2.9,-2.45,-2.35,-1.9
18:00:47-27/10/2015,-4.2,-4.55,-2.9,-1.5,-4.45,-0.7
19:00:31-27/10/2015,-6.4,-6.4,-2.9,-3.0,-4.7,-1.7
20:00:33-27/10/2015,-6.45,-6.05,-2.9,-3.7,-5.05,-3.55
22:00:33-27/10/2015,-5.55,-5.7,-2.9,-2.25,-3.3,-3.55
10:00:30-28/10/2015,-2.65,-3.7,-2.9,-3.5,-3.05,3.1
11:00:37-28/10/2015,-1.8,-4.65,-2.9,-3.05,-3.05,2.55
12:01:27-28/10/2015,-3.85,-6.25,-2.9,-2.45,-3.05,2.55
13:00:39-28/10/2015,-3.85,-3.75,-2.9,-2.8,-3.05,2.95
14:00:24-28/10/2015,-1.55,-3.75,-2.9,-0.05,-0.4,2.55
15:00:10-28/10/2015,-2.85,-4.35,-2.9,-1.55,-0.4,0.6
16:00:08-28/10/2015,-2.1,-3.75,-2.9,-2.5,-3.85,-0.25
17:00:07-28/10/2015,-3.2,-3.65,-2.9,-1.4,-6.4,-3.0
18:00:08-28/10/2015,-5.6,-2.2,-2.9,-0.3,-2.75,-3.15
19:00:09-28/10/2015,-4.4,-3.25,-2.9,-2.05,-3.1,-5.95
21:00:08-28/10/2015,-1.9,-2.7,-2.9,-2.05,-2.15,-6.8
22:00:08-28/10/2015,-2.5,-3.65,-2.9,-2.75,-2.35,-5.15
23:00:10-28/10/2015,-2.05,-2.55,-2.9,-5.15,-3.1,-3.6
00:00:10-29/10/2015,-4.75,-2.65,-2.9,-4.25,-2.45,-3.05
01:00:10-29/10/2015,-4.7,-2.75,-2.9,0.15,-1.0,-3.05
09:00:07-29/10/2015,-3.0,-0.45,-2.9,-1.35,-2.9,-0.35
10:00:11-29/10/2015,-2.65,-3.5,-2.9,-2.2,-3.45,-0.35
11:00:10-29/10/2015,-2.8,-4.35,-2.9,-2.2,-3.45,-0.35
13:00:09-29/10/2015,-3.9,-4.7,-2.9,-4.15,-3.45,-2.0
15:00:13-29/10/2015,-3.5,-3.95,-2.9,-2.15,-1.05,-0.85
20:20:44-29/10/2015,-3.5,-1.75,-2.9,-3.5,-0.7,-4.85
21:00:35-29/10/2015,-5.3,-1.1,-2.9,-2.15,-0.7,-6.6
22:02:06-29/10/2015,-5.45,-0.05,-2.9,-1.7,-1.2,-2.4
08:15:02-30/10/2015,-6.0,-4.2,-2.9,-4.8,-1.45,-0.9
09:00:08-30/10/2015,-7.25,-4.2,-2.9,-4.8,-1.45,-0.9
10:00:09-30/10/2015,-7.25,-4.2,-2.9,1.2,-1.45,-0.9
11:00:43-30/10/2015,-6.65,-3.95,-2.9,-1.3,-1.2,-0.4
12:00:31-30/10/2015,-6.4,-3.5,-2.9,0.2,-1.15,-0.05
13:00:17-30/10/2015,-6.4,-2.2,-2.9,0.2,-0.9,-0.45
15:00:30-30/10/2015,-6.6,-2.4,-2.9,-3.1,-0.5,-1.25
16:00:37-30/10/2015,-7.65,-2.7,-2.9,-4.2,-0.15,-2.95
17:00:38-30/10/2015,-5.7,-1.9,-2.9,-2.75,-0.25,-1.8
18:00:33-30/10/2015,-4.55,-1.95,-2.9,0.3,0.35,-2.3
19:00:38-30/10/2015,-3.7,-1.45,-2.9,-0.05,-0.2,-2.35
20:00:12-30/10/2015,-1.65,-0.5,-2.9,-1.2,-2.05,-2.5
21:00:33-30/10/2015,-2.9,-0.5,-2.9,-1.0,-2.1,-2.5
22:00:32-30/10/2015,-4.75,-3.0,-2.9,-0.8,-2.6,-2.45
23:00:32-30/10/2015,-2.0,-3.3,-2.9,0.45,-3.95,-2.45
10:00:33-31/10/2015,-1.45,-4.05,-2.9,-4.7,-3.05,-0.35
12:00:42-31/10/2015,0.6,-4.35,-2.9,-4.7,-3.05,-0.35
13:01:07-31/10/2015,0.6,-2.9,-2.9,-4.7,-1.95,-0.35
14:00:33-31/10/2015,0.6,-2.65,-2.9,-4.8,-1.95,-0.35
15:00:30-31/10/2015,-0.15,-3.5,-2.9,-4.6,-1.95,-1.3
16:00:33-31/10/2015,0.25,-1.6,-2.9,-4.4,-2.05,-4.2
17:00:34-31/10/2015,0.1,-2.35,-2.9,-4.4,0.3,-4.2
18:00:43-31/10/2015,-0.45,-5.05,-2.9,-5.2,2.25,-4.65
08:05:40-01/11/2015,-3.2,-1.2,-2.9,-2.55,-3.75,6.4
10:00:31-01/11/2015,-4.45,-1.2,-2.9,-2.65,-3.55,6.4
12:00:50-01/11/2015,-2.15,-1.25,-2.9,-2.65,-3.75,6.4
13:01:13-01/11/2015,-4.8,-1.25,-2.9,-2.65,-3.75,6.4
14:04:40-01/11/2015,-4.8,-2.05,-2.9,-4.2,-3.75,5.0
15:01:47-01/11/2015,-4.8,-2.05,-2.9,-5.85,-3.1,6.2
16:02:35-01/11/2015,-3.35,-2.05,-2.9,-2.3,-2.1,5.3
17:00:37-01/11/2015,-5.0,-2.9,-2.9,-2.3,-2.55,5.1
18:01:36-01/11/2015,-5.65,-3.75,-2.9,-3.8,-3.95,5.1
19:01:01-01/11/2015,-4.95,-2.35,-2.9,-3.4,-4.1,5.0
20:00:38-01/11/2015,-6.05,-3.5,-2.9,-2.3,-3.45,1.5
22:00:48-01/11/2015,-4.25,-3.4,-2.9,-0.7,-2.9,-0.85
23:01:43-01/11/2015,-4.65,-2.55,-2.9,-2.0,-3.8,-0.85
16:01:10-02/11/2015,-5.65,-2.5,-2.9,-1.65,-1.4,-1.0
17:00:15-02/11/2015,-10.1,-3.0,-2.9,-2.65,-2.0,-0.65
18:00:09-02/11/2015,-9.05,-0.2,-2.9,-3.9,-5.9,-1.55
19:00:08-02/11/2015,-7.9,-1.15,-2.9,-2.2,-5.25,-4.5
20:00:13-02/11/2015,-5.6,-1.25,-2.9,-2.75,-7.25,-3.7
21:00:15-02/11/2015,-2.9,-2.95,-2.9,-3.55,-8.05,-4.1
22:00:06-02/11/2015,-3.05,-3.55,-2.9,-2.05,-3.4,-3.8
23:00:40-02/11/2015,-3.5,-6.25,-2.9,-0.75,-1.8,-3.05
00:00:55-03/11/2015,-7.8,-4.9,-2.9,-1.2,-0.9,-2.2
02:00:10-03/11/2015,-10.3,-4.55,-2.9,-2.3,-3.95,-1.5
17:07:32-03/11/2015,-3.65,-3.6,-2.9,-3.0,-3.2,2.3
19:00:45-03/11/2015,-1.75,-0.8,-2.9,-5.4,-2.3,3.3
20:00:12-03/11/2015,-4.9,-3.1,-2.9,-4.55,-1.75,2.15
09:00:37-04/11/2015,-6.95,-4.8,-2.9,-5.55,-3.15,2.45
10:00:09-04/11/2015,-6.65,-4.8,-2.9,-1.15,-1.85,1.3
09:00:36-05/11/2015,-1.9,-0.85,-2.9,-0.6,-1.0,0.85
13:00:12-05/11/2015,-3.05,-4.3,-2.9,-3.1,-4.15,-2.8
14:00:36-05/11/2015,-3.3,-2.9,-2.9,-3.15,-4.35,-4.9
15:00:09-05/11/2015,-0.7,-0.6,-2.9,-5.05,-4.45,-4.9
16:00:10-05/11/2015,-3.05,-0.7,-2.9,-3.75,-2.35,-3.4
17:00:10-05/11/2015,-1.75,-0.15,-2.9,-4.65,-1.25,-3.25
18:00:09-05/11/2015,-3.6,0.55,-2.9,-3.4,-3.6,-3.0
20:00:18-05/11/2015,-1.2,-1.75,-2.9,-0.95,-4.2,-3.35
21:00:09-05/11/2015,-1.7,-1.5,-2.9,-0.3,-0.2,-3.5
22:00:14-05/11/2015,-1.95,-1.75,-2.9,-1.1,0.6,-2.2
23:00:13-05/11/2015,-3.1,-1.45,-2.9,-1.1,-3.15,-2.95
00:00:15-06/11/2015,-5.7,-2.6,-2.9,-1.1,-3.15,-2.95
08:00:34-06/11/2015,-8.25,-0.2,-2.9,-0.95,-4.45,-2.35
09:00:27-06/11/2015,-7.45,-1.7,-2.9,-1.35,-4.45,-2.35
10:00:08-06/11/2015,-7.3,-1.2,-2.9,-1.0,-2.7,-3.75
11:00:09-06/11/2015,-7.9,-2.3,-2.9,-3.6,-2.95,-4.55
12:00:06-06/11/2015,-6.05,-3.5,-2.9,-3.45,-0.7,-4.55
13:00:10-06/11/2015,-6.9,-6.2,-2.9,-2.7,-0.5,-4.55
14:00:08-06/11/2015,-4.9,-6.2,-2.9,-1.95,0.05,-4.55
15:00:08-06/11/2015,-1.4,-5.55,-2.9,-1.6,-0.95,-4.6
16:00:10-06/11/2015,-3.55,-1.85,-2.9,-1.15,-1.4,-4.85
17:00:17-06/11/2015,-2.05,-4.5,-2.9,-0.5,-1.45,-3.95
18:00:25-06/11/2015,-0.35,-1.55,-2.9,-1.85,-1.85,-3.95
19:00:30-06/11/2015,-1.85,-0.1,-2.9,-4.05,-1.1,-3.85
20:00:12-06/11/2015,-3.1,-1.1,-2.9,-3.55,-1.3,-4.75
23:00:30-06/11/2015,-0.95,-1.75,-2.9,-3.55,-2.8,1.85
09:00:29-07/11/2015,-2.85,0.05,-2.9,-3.25,-0.4,0.5
10:00:24-07/11/2015,-0.55,0.05,-2.9,-1.65,1.25,0.5
11:00:47-07/11/2015,-0.55,0.15,-2.9,-1.5,2.45,0.5
12:00:24-07/11/2015,-1.55,-2.05,-2.9,-2.95,2.45,0.15
13:00:23-07/11/2015,1.15,-4.3,-2.9,-2.85,-0.05,-0.75
18:00:49-07/11/2015,-0.95,-4.45,-2.9,-0.95,-2.8,-1.65
20:00:32-07/11/2015,-0.3,-5.35,-2.9,-0.35,0.0,-1.8
21:00:32-07/11/2015,1.2,-4.9,-2.9,-0.45,0.5,-1.8
22:00:34-07/11/2015,1.2,-5.65,-2.9,0.0,0.5,-1.8
23:00:36-07/11/2015,-0.15,-5.1,-2.9,0.0,0.6,-1.8
00:01:19-08/11/2015,-6.55,-4.15,-2.9,0.0,0.25,-1.8
01:00:31-08/11/2015,-2.9,-4.15,-2.9,0.0,0.25,-0.95
02:00:30-08/11/2015,-4.5,-4.95,-2.9,0.0,0.25,-0.95
09:01:22-08/11/2015,-3.5,-3.4,-2.9,-0.8,1.1,-3.5
10:01:20-08/11/2015,-2.35,-3.1,-2.9,-2.55,1.1,-3.4
13:03:31-09/11/2015,-1.05,-1.2,-2.9,-1.8,-2.6,-0.95
14:00:38-09/11/2015,-1.35,-0.2,-2.9,-2.35,-2.1,-1.4
15:00:35-09/11/2015,-2.8,-0.4,-2.9,-1.9,-0.5,-0.6
16:00:37-09/11/2015,-2.55,-1.3,-2.9,-0.2,-0.2,0.05
17:00:40-09/11/2015,-3.3,-2.15,-2.9,1.5,-0.2,0.05
23:01:02-09/11/2015,-4.7,-2.2,-2.9,-1.25,-0.95,3.95
00:01:17-10/11/2015,-4.7,-1.75,-2.9,-1.1,-0.95,4.6
01:01:00-10/11/2015,0.55,-4.5,-2.9,-1.0,-2.35,4.6
02:01:06-10/11/2015,-0.4,-3.35,-2.9,-1.0,-2.95,3.65
03:00:32-10/11/2015,0.95,-3.35,-2.9,-1.0,-2.85,4.15
05:00:59-10/11/2015,-0.4,-2.15,-2.9,-0.7,-2.85,4.0
10:00:27-10/11/2015,-5.5,-2.75,-2.9,-1.55,-3.75,-0.4
11:00:35-10/11/2015,-4.85,-2.8,-2.9,-1.8,-3.35,-0.4
12:00:21-10/11/2015,-4.55,-5.45,-2.9,-1.35,-0.9,-0.4
13:00:15-10/11/2015,-2.4,-5.8,-2.9,-4.9,-0.2,-0.4
14:00:07-10/11/2015,-4.9,-6.3,-2.9,-5.35,1.65,-2.0
15:00:10-10/11/2015,-6.1,-6.9,-2.9,-2.9,1.65,-3.55
16:00:11-10/11/2015,-5.35,-7.2,-2.9,-1.6,0.9,-3.6
17:00:12-10/11/2015,-2.7,-4.0,-2.9,-4.85,-2.1,-3.6
18:00:20-10/11/2015,-0.95,-3.5,-2.9,-3.5,-2.4,-3.0
19:00:09-10/11/2015,-2.45,-4.75,-2.9,-3.4,-1.7,-3.45
20:00:21-10/11/2015,-3.9,-5.4,-2.9,-2.7,-0.15,-3.5
21:00:10-10/11/2015,-2.95,-5.1,-2.9,-1.75,-1.6,-3.5
22:00:08-10/11/2015,-1.65,-5.5,-2.9,-1.75,-2.05,-3.3
23:00:09-10/11/2015,-3.7,-5.5,-2.9,-1.4,-4.1,-4.75
00:00:26-11/11/2015,-4.3,-5.5,-2.9,-1.4,-2.6,-4.75
01:00:18-11/11/2015,-6.9,-4.35,-2.9,-0.75,-2.8,-4.0
02:00:11-11/11/2015,-6.8,-1.7,-2.9,-0.75,-1.7,-4.0
09:00:14-11/11/2015,-6.7,-0.7,-2.9,-2.65,-1.2,-2.55
10:00:13-11/11/2015,-4.95,0.1,-2.9,-2.5,-0.75,-2.7
11:00:07-11/11/2015,-2.1,-1.25,-2.9,-2.5,-1.6,-2.6
12:00:08-11/11/2015,-1.15,-2.6,-2.9,-2.6,-1.25,-3.8
15:00:20-11/11/2015,-2.9,-8.2,-2.9,-2.5,-1.1,-2.4
16:00:08-11/11/2015,-2.25,-6.6,-2.9,-1.15,0.6,-3.1
18:00:08-11/11/2015,-3.6,-7.7,-2.9,-5.5,0.1,-5.1
19:00:10-11/11/2015,-3.4,-3.25,-2.9,-4.0,-0.35,-5.4
00:00:11-12/11/2015,-2.7,-1.45,-2.9,-3.25,-4.15,-2.9
01:00:31-12/11/2015,0.35,-0.3,-2.9,-2.45,-1.65,-3.1
02:00:31-12/11/2015,-0.6,-0.45,-2.9,-2.95,-1.75,-3.1
08:00:18-12/11/2015,0.0,0.85,-2.9,-1.05,-2.5,-0.4
09:00:06-12/11/2015,-0.05,1.2,-2.9,-4.15,-0.95,-0.4
10:00:12-12/11/2015,0.15,-0.9,-2.9,-2.8,1.5,-2.45
11:00:08-12/11/2015,-1.25,-1.05,-2.9,0.05,-0.35,-3.05
12:00:10-12/11/2015,-3.05,-3.95,-2.9,0.95,1.45,-2.7
13:00:10-12/11/2015,-2.85,-7.35,-2.9,-3.0,0.75,-2.9
12:00:17-13/11/2015,-3.85,-1.75,-2.9,-2.45,-2.05,-2.8
16:00:39-13/11/2015,0.15,-5.9,-2.9,-2.95,-3.35,-1.3
17:00:29-13/11/2015,-1.9,-5.2,-2.9,-1.6,-3.05,-2.7
18:00:32-13/11/2015,-1.8,-2.95,-2.9,-1.85,-0.9,-2.7
19:00:08-13/11/2015,-3.0,-3.4,-2.9,-1.9,-1.65,-2.7
20:00:08-13/11/2015,-0.8,-4.35,-2.9,-1.8,-4.8,-2.7
02:00:08-14/11/2015,-8.75,-5.35,-2.9,-2.7,-3.0,-4.5
03:00:09-14/11/2015,-9.15,-5.65,-2.9,-2.7,-3.0,-4.5
09:01:10-14/11/2015,-9.1,-5.65,-2.9,-7.1,-1.7,-4.5
10:00:34-14/11/2015,-9.25,-5.25,-2.9,-6.45,-2.8,-4.5
12:00:27-14/11/2015,-7.9,-2.9,-2.9,-6.3,-5.3,-4.1
19:00:51-14/11/2015,-10.15,-7.75,-2.9,-5.8,-4.9,-4.0
21:00:14-14/11/2015,-8.35,-7.55,-2.9,-8.7,-6.25,-4.0
01:00:27-15/11/2015,-3.75,-6.55,-2.9,-7.9,-6.35,-4.0
02:00:11-15/11/2015,-3.75,-6.55,-2.9,-7.7,-6.35,-4.0
03:00:08-15/11/2015,-3.75,-7.25,-2.9,-3.75,-6.25,-4.0
04:00:07-15/11/2015,-3.75,-4.65,-2.9,-5.15,-7.1,-4.0
05:00:07-15/11/2015,-3.75,-4.65,-2.9,-5.25,-7.15,-4.0
00:00:35-16/11/2015,-8.05,-4.65,-2.9,-5.2,-6.6,-3.05
01:00:19-16/11/2015,-3.95,-3.85,-2.9,-5.15,-6.6,0.35
02:01:24-16/11/2015,-4.3,-3.05,-2.9,-3.7,-6.5,0.35
03:00:30-16/11/2015,-6.05,-3.65,-2.9,-3.7,-6.5,0.35
04:00:05-16/11/2015,-6.05,-3.8,-2.9,-3.6,-6.8,0.35
10:00:18-16/11/2015,-6.2,-6.35,-2.9,-4.1,-2.7,-0.8
11:00:09-16/11/2015,-5.95,-7.25,-2.9,-2.6,-5.9,-0.95
12:00:08-16/11/2015,-5.3,-5.5,-2.9,-0.35,-7.2,-3.2
13:00:41-16/11/2015,-4.15,-3.85,-2.9,-4.65,-3.9,-5.7
14:00:24-16/11/2015,-5.6,-6.2,-2.9,-2.4,-6.25,-6.3
15:00:29-16/11/2015,-6.25,-4.3,-2.9,-5.65,-3.55,-3.75
01:00:35-17/11/2015,-4.75,-7.7,-2.9,-2.8,-5.45,-3.05
02:00:10-17/11/2015,-5.95,-7.15,-2.9,-1.7,-4.1,-3.05
10:00:21-17/11/2015,-8.6,-3.9,-2.9,-6.1,-2.15,-3.4
11:00:08-17/11/2015,-5.3,-4.35,-2.9,-4.3,-0.8,-5.0
12:00:06-17/11/2015,-5.1,-4.9,-2.9,-6.85,-0.1,-4.95
13:00:06-17/11/2015,-4.7,-3.2,-2.9,-7.5,-2.5,-3.35
17:00:08-17/11/2015,-4.5,-0.45,-2.9,-5.2,0.8,-3.55
02:00:16-18/11/2015,-0.7,-0.8,-2.9,-3.5,-3.25,-2.5
09:00:11-18/11/2015,-2.8,-5.85,-2.9,-2.5,-3.05,-4.2
10:00:06-18/11/2015,-3.35,-3.65,-2.9,-2.15,-0.45,-4.2
11:00:06-18/11/2015,-3.25,-4.15,-2.9,-5.6,-2.05,-4.2
02:00:32-19/11/2015,-2.55,-4.1,-2.9,-2.75,-0.5,-1.75
15:00:09-19/11/2015,-0.05,-2.8,-2.9,-3.45,-2.55,-6.1
18:00:08-19/11/2015,-0.95,-3.1,-2.9,-1.3,-1.55,-3.55
19:00:10-19/11/2015,-3.55,-3.6,-2.9,-2.3,-1.15,-3.2
20:00:13-19/11/2015,-3.3,-4.05,-2.9,-3.1,-3.55,-4.4
21:00:08-19/11/2015,-3.05,-4.05,-2.9,-1.35,-4.7,-5.15
22:00:06-19/11/2015,-4.45,-3.6,-2.9,-1.4,-5.95,0.25
23:00:06-19/11/2015,-3.65,-4.55,-2.9,-2.05,-4.35,0.25
01:00:10-20/11/2015,-3.75,-3.75,-2.9,-1.85,-2.55,2.05
02:00:10-20/11/2015,-2.85,-3.3,-2.9,-4.7,-5.55,2.05
03:00:07-20/11/2015,-2.85,-3.3,-2.9,-3.6,-4.3,2.05
04:00:07-20/11/2015,-3.2,-3.3,-2.9,-4.6,-3.35,2.05
09:00:10-20/11/2015,-6.3,-3.25,-2.9,-4.9,-6.7,1.1
23:00:27-20/11/2015,-5.85,-4.15,-2.9,-4.25,-2.3,11.25
00:00:08-21/11/2015,-5.85,-4.85,-2.9,-3.6,-2.3,7.3
01:04:20-21/11/2015,-4.7,-6.2,-2.9,-3.35,-2.3,1.9
02:00:30-21/11/2015,-4.4,-5.1,-2.9,-3.4,-2.9,1.9
12:00:33-21/11/2015,-3.15,-4.65,-2.9,-1.15,-5.25,-2.5
13:00:33-21/11/2015,-4.1,-5.05,-2.9,-4.7,-5.25,-2.5
01:00:48-23/11/2015,-6.1,-4.6,-2.9,-5.4,-4.35,1.25
02:00:29-23/11/2015,-6.75,-3.8,-2.9,-5.45,-4.35,1.25
03:00:33-23/11/2015,-6.75,-4.3,-2.9,-1.25,-2.65,1.25
17:13:02-23/11/2015,-2.05,-2.65,-2.9,-1.4,-1.45,-2.4
18:00:30-23/11/2015,-4.35,-3.65,-2.9,-1.85,-1.45,-2.2
20:00:30-23/11/2015,-4.45,-4.9,-2.9,-2.35,-0.2,-0.6
01:44:21-24/11/2015,-1.85,-4.05,-2.9,-0.8,-2.4,-1.35
02:00:38-24/11/2015,-2.9,-4.05,-2.9,-0.8,-2.4,-1.35
12:01:10-24/11/2015,-7.3,-1.6,-2.9,-2.15,-0.7,-1.65
13:00:36-24/11/2015,-6.55,-2.8,-2.9,-3.7,-1.25,-2.0
14:01:05-24/11/2015,-7.1,-3.8,-2.9,-1.1,-3.05,-2.25
15:01:03-24/11/2015,-1.95,-2.25,-2.9,-1.1,-2.7,-5.1
16:00:31-24/11/2015,-4.05,-0.95,-2.9,-1.8,-3.75,-3.45
17:00:29-24/11/2015,0.25,-1.3,-2.9,-1.2,-5.75,-3.45
01:00:34-25/11/2015,-4.3,-3.3,-2.9,-3.25,-2.55,-0.15
02:00:26-25/11/2015,-4.1,-2.8,-2.9,-2.3,-3.95,-0.15
03:00:27-25/11/2015,-5.55,-2.85,-2.9,-2.3,-3.35,-0.15
18:00:31-25/11/2015,-3.75,-4.4,-2.9,-1.6,-5.05,-2.1
13:00:33-26/11/2015,-1.85,-4.15,-2.9,0.3,1.55,-1.85
14:00:07-26/11/2015,-2.3,-3.3,-2.9,-0.15,1.0,-2.25
15:00:12-26/11/2015,-5.15,-3.3,-2.9,-2.55,1.0,-2.85
17:00:36-27/11/2015,0.85,-3.8,-2.9,-3.3,-3.4,-4.7
01:00:11-28/11/2015,-3.5,-1.65,-2.9,-1.3,-5.55,-0.55
02:00:08-28/11/2015,-3.5,-1.85,-2.9,-1.45,-5.0,-0.55
03:00:11-28/11/2015,-4.4,-1.85,-2.9,0.05,-5.1,-0.55
02:00:30-29/11/2015,-1.5,-3.8,-2.9,0.95,-3.5,-4.85
03:00:05-29/11/2015,-1.25,-2.35,-2.9,0.45,-3.5,-4.85
04:00:06-29/11/2015,-1.25,-3.3,-2.9,-0.55,-3.5,-4.85
05:00:06-29/11/2015,-0.85,-3.3,-2.9,0.9,-2.95,-4.85
08:00:08-29/11/2015,-0.05,-1.95,-2.9,-0.1,-1.75,-4.85
11:00:09-29/11/2015,-2.8,-0.7,-2.9,-2.5,-1.05,-5.15
11:00:16-30/11/2015,-4.9,-2.45,-2.9,-1.05,-0.95,-2.7
12:00:32-30/11/2015,-1.9,-1.9,-2.9,-3.5,0.0,-3.6
13:00:16-30/11/2015,-0.5,-1.8,-2.9,-0.5,-2.15,-4.0
14:00:09-30/11/2015,-0.2,-3.55,-2.9,-1.2,-3.05,-4.15
15:00:09-30/11/2015,-3.85,-3.7,-2.9,-0.85,-3.05,-4.75
02:00:26-01/12/2015,0.15,-3.25,-2.9,-2.7,-0.65,-1.1
03:00:10-01/12/2015,-1.0,-0.45,-2.9,-1.7,-1.05,-1.1
04:00:07-01/12/2015,-1.9,-1.45,-2.9,-1.75,0.15,-1.1
05:00:07-01/12/2015,-3.15,-1.4,-2.9,-1.3,0.15,-1.1
10:00:17-01/12/2015,-3.4,-4.75,-2.9,-3.95,-3.55,-2.25
15:00:34-01/12/2015,-4.35,-0.8,-2.9,-3.75,-5.3,-5.2
16:00:26-01/12/2015,-6.8,0.15,-2.9,-3.65,-6.85,-5.6
17:00:23-01/12/2015,-7.6,-1.0,-2.9,-1.35,-6.4,-5.4
20:00:35-01/12/2015,0.8,-4.4,-2.9,-0.25,-6.05,-4.3
07:00:33-02/12/2015,-3.35,-2.7,-2.9,-2.75,-2.9,-0.3
08:00:40-02/12/2015,-2.9,-2.05,-2.9,-3.15,-2.9,-0.3
09:00:35-02/12/2015,-6.15,-2.4,-2.9,-3.65,-2.55,-0.3
10:01:04-02/12/2015,-3.95,-1.45,-2.9,-2.1,-3.7,-0.7
13:02:50-02/12/2015,-2.1,-1.9,-2.9,-5.05,-0.8,-0.7
14:02:26-02/12/2015,-0.7,0.25,-2.9,-5.15,-3.1,-3.25
15:00:34-02/12/2015,-0.75,-2.0,-2.9,-5.55,-3.1,-4.45
16:00:29-02/12/2015,0.1,0.15,-2.9,-5.55,-4.55,-3.35
17:00:32-02/12/2015,-2.75,-1.15,-2.9,-3.45,-4.35,-3.35
14:01:19-03/12/2015,-5.8,-3.75,-2.9,-1.95,-1.8,-2.75
15:02:53-03/12/2015,-4.8,-2.7,-2.9,-2.35,-1.8,-4.3
16:00:41-03/12/2015,-4.05,-3.55,-2.9,-4.85,1.9,-4.3
02:00:40-04/12/2015,-3.75,-2.7,-2.9,-5.75,-0.85,1.2
03:00:58-04/12/2015,-3.75,-0.65,-2.9,-5.45,-1.7,2.05
04:00:44-04/12/2015,-4.2,-0.5,-2.9,-5.45,-1.7,2.05
04:00:40-05/12/2015,-6.45,-3.25,-2.9,-3.45,-3.45,-0.65
11:00:31-05/12/2015,-5.5,-2.05,-2.9,-2.8,-1.9,-0.6
12:00:38-05/12/2015,-6.25,-2.85,-2.9,-1.85,-1.25,-0.6
13:00:28-05/12/2015,-5.85,-3.0,-2.9,-3.05,-1.25,2.15
14:00:26-05/12/2015,-5.25,-3.15,-2.9,-3.7,-1.25,2.15
23:00:41-05/12/2015,-7.25,-3.7,-2.9,-2.4,0.25,-1.8
00:00:10-06/12/2015,-7.9,-3.85,-2.9,-4.0,-0.55,-1.8
01:00:11-06/12/2015,-5.0,-5.85,-2.9,-4.0,-0.55,-0.65
11:00:21-06/12/2015,-1.5,-3.75,-2.9,-5.7,-5.05,-3.9
12:00:28-06/12/2015,-2.0,-2.95,-2.9,-4.25,-5.05,-2.45
05:00:08-07/12/2015,-7.35,-4.1,-2.9,-4.2,-3.25,-3.9
