Date,Express,Guardian,Independent,Mail,Telegraph,Times
21:00:08-23/09/2015,-0.35,-4.5,-3.9,-1.9,-3.95,-5.75
08:01:28-24/09/2015,-2.85,-0.1,-3.9,-1.55,-1.35,-6.85
09:00:11-24/09/2015,-2.1,-0.1,-3.9,-1.25,-1.35,-6.85
10:00:10-24/09/2015,-2.65,-0.5,-3.9,-1.95,-1.65,1.15
11:00:12-24/09/2015,-0.1,0.7,-3.9,-5.0,-1.65,-4.65
12:00:11-24/09/2015,0.65,-1.9,-3.9,-5.25,-1.35,-5.45
13:00:38-24/09/2015,0.7,-0.7,-3.9,-6.85,0.4,-5.45
14:00:14-24/09/2015,0.75,-2.55,-3.9,-0.15,-1.75,-6.6
18:00:08-24/09/2015,-3.45,-2.9,-3.9,-2.9,-3.15,-5.75
19:00:08-24/09/2015,-5.8,-2.6,-3.9,-2.65,-3.7,-4.45
20:00:08-24/09/2015,-5.65,-3.2,-3.9,-1.6,-2.05,-4.25
09:00:25-25/09/2015,-6.4,-2.75,-3.9,-2.05,-0.45,-0.85
12:00:08-25/09/2015,-3.2,-2.6,-3.9,-2.05,-1.2,-5.7
13:00:13-25/09/2015,-3.4,-3.65,-3.9,-0.45,-1.25,-5.7
15:00:17-25/09/2015,-1.4,-0.8,-3.9,-3.0,-2.3,-5.85
10:00:32-28/09/2015,-5.15,-3.0,-2.9,0.75,-2.75,-0.85
11:00:14-28/09/2015,-5.15,-1.4,-2.9,0.1,-2.75,-0.25
12:00:17-28/09/2015,-5.15,-1.4,-2.9,-2.65,-2.75,-0.25
13:00:14-28/09/2015,-2.35,-1.25,-2.9,0.6,-1.95,-0.25
14:00:14-28/09/2015,-1.35,-0.85,-2.9,1.45,-2.5,-0.5
15:00:13-28/09/2015,-0.3,-1.2,-2.9,-2.15,-2.15,-0.5
16:00:13-28/09/2015,-1.1,-2.35,-2.9,1.6,-1.85,-0.65
17:00:11-28/09/2015,-1.0,-1.8,-2.9,0.95,-1.9,-0.65
18:00:12-28/09/2015,-1.9,0.05,-2.9,-0.2,-0.4,-0.65
20:00:29-28/09/2015,-2.35,0.55,-2.9,-1.3,-1.9,-2.15
21:26:54-28/09/2015,-1.15,-0.3,-2.9,-4.65,-1.9,-3.1
22:00:15-28/09/2015,-1.25,-1.9,-2.9,-6.0,-1.45,-3.1
23:00:11-28/09/2015,-4.6,-3.25,-2.9,-6.45,-1.45,-3.1
